created_at_utc,source,scenario,collection,band,creation_time,forecast_time,forecast_hours,accumulated_rainfall,duration,intensity,n_images,roi
2026-05-27T05:48:00Z,ECMWF NRT IFS,worst_case_max_roi,ECMWF/NRT_FORECAST/IFS/OPER,total_precipitation_sfc,2026-05-26T18:00:00+00:00,2026-05-27T00:00:00+00:00,6,0.0,6,0.0,1,"[109.1, 12.1, 109.3, 12.2]"
2026-05-27T05:50:32Z,ECMWF NRT IFS,worst_case_max_roi,ECMWF/NRT_FORECAST/IFS/OPER,total_precipitation_sfc,2026-05-26T18:00:00+00:00,2026-05-27T00:00:00+00:00,6,0.0,6,0.0,1,"[109.1, 12.1, 109.3, 12.2]"
2026-05-28T04:50:25Z,ECMWF NRT IFS,worst_case_max_roi,ECMWF/NRT_FORECAST/IFS/OPER,total_precipitation_sfc,2026-05-27T18:00:00+00:00,2026-05-28T00:00:00+00:00,6,0.0,6,0.0,1,"[109.1, 12.1, 109.3, 12.2]"
2026-05-28T04:51:50Z,ECMWF NRT IFS,worst_case_max_roi,ECMWF/NRT_FORECAST/IFS/OPER,total_precipitation_sfc,2026-05-27T18:00:00+00:00,2026-05-28T00:00:00+00:00,6,0.0,6,0.0,1,"[109.1, 12.1, 109.3, 12.2]"
2026-05-28T04:52:52Z,ECMWF NRT IFS,worst_case_max_roi,ECMWF/NRT_FORECAST/IFS/OPER,total_precipitation_sfc,2026-05-27T18:00:00+00:00,2026-05-28T00:00:00+00:00,6,0.0,6,0.0,1,"[109.1, 12.1, 109.3, 12.2]"
2026-05-28T04:53:04Z,ECMWF NRT IFS,worst_case_max_roi,ECMWF/NRT_FORECAST/IFS/OPER,total_precipitation_sfc,2026-05-27T18:00:00+00:00,2026-05-28T00:00:00+00:00,6,0.0,6,0.0,1,"[109.1, 12.1, 109.3, 12.2]"
2026-05-28T04:54:04Z,ECMWF NRT IFS,worst_case_max_roi,ECMWF/NRT_FORECAST/IFS/OPER,total_precipitation_sfc,2026-05-27T18:00:00+00:00,2026-05-28T00:00:00+00:00,6,0.0,6,0.0,1,"[109.1, 12.1, 109.3, 12.2]"
2026-05-28T04:54:55Z,ECMWF NRT IFS,worst_case_max_roi,ECMWF/NRT_FORECAST/IFS/OPER,total_precipitation_sfc,2026-05-27T18:00:00+00:00,2026-05-30T18:00:00+00:00,72,0.0,72,0.0,1,"[109.1, 12.1, 109.3, 12.2]"
2026-05-28T04:57:52Z,ECMWF NRT IFS,worst_case_max_roi,ECMWF/NRT_FORECAST/IFS/OPER,total_precipitation_sfc,2026-05-27T18:00:00+00:00,2026-05-28T00:00:00+00:00,6,0.0,6,0.0,1,"[109.1, 12.1, 109.3, 12.2]"
2026-05-28T04:57:58Z,ECMWF NRT IFS,worst_case_max_roi,ECMWF/NRT_FORECAST/IFS/OPER,total_precipitation_sfc,2026-05-27T18:00:00+00:00,2026-05-28T06:00:00+00:00,12,0.0,12,0.0,1,"[109.1, 12.1, 109.3, 12.2]"
2026-05-28T04:58:05Z,ECMWF NRT IFS,worst_case_max_roi,ECMWF/NRT_FORECAST/IFS/OPER,total_precipitation_sfc,2026-05-27T18:00:00+00:00,2026-05-28T18:00:00+00:00,24,0.0,24,0.0,1,"[109.1, 12.1, 109.3, 12.2]"
2026-05-28T07:04:40Z,ECMWF NRT IFS,worst_case_max_roi,ECMWF/NRT_FORECAST/IFS/OPER,total_precipitation_sfc,2026-05-27T18:00:00+00:00,2026-05-30T18:00:00+00:00,72,0.0,72,0.0,1,"[109.1, 12.1, 109.3, 12.2]"
2026-05-29T03:19:18Z,ECMWF NRT IFS,worst_case_max_roi,ECMWF/NRT_FORECAST/IFS/OPER,total_precipitation_sfc,2026-05-28T18:00:00+00:00,2026-05-30T18:00:00+00:00,48,0.0,48,0.0,1,"[109.1, 12.1, 109.3, 12.2]"
2026-05-29T03:24:29Z,ECMWF NRT IFS,worst_case_max_roi,ECMWF/NRT_FORECAST/IFS/OPER,total_precipitation_sfc,2026-05-28T18:00:00+00:00,2026-05-29T00:00:00+00:00,6,0.0,6,0.0,1,"[109.1, 12.1, 109.3, 12.2]"
2026-05-29T03:25:32Z,ECMWF NRT IFS,worst_case_max_roi,ECMWF/NRT_FORECAST/IFS/OPER,total_precipitation_sfc,2026-05-28T18:00:00+00:00,2026-05-29T00:00:00+00:00,6,0.0,6,0.0,1,"[109.1, 12.1, 109.3, 12.2]"
2026-05-29T03:30:48Z,ECMWF NRT IFS,worst_case_max_roi,ECMWF/NRT_FORECAST/IFS/OPER,total_precipitation_sfc,2026-05-28T18:00:00+00:00,2026-05-29T00:00:00+00:00,6,0.0,6,0.0,1,"[109.1, 12.1, 109.3, 12.2]"
2026-05-29T03:31:26Z,ECMWF NRT IFS,worst_case_max_roi,ECMWF/NRT_FORECAST/IFS/OPER,total_precipitation_sfc,2026-05-28T18:00:00+00:00,2026-05-29T18:00:00+00:00,24,0.0,24,0.0,1,"[109.1, 12.1, 109.3, 12.2]"
2026-05-29T03:53:30Z,ECMWF NRT IFS,worst_case_max_roi,ECMWF/NRT_FORECAST/IFS/OPER,total_precipitation_sfc,2026-05-28T18:00:00+00:00,2026-05-29T00:00:00+00:00,6,0.0,6,0.0,1,"[109.1, 12.1, 109.3, 12.2]"
2026-06-24T03:59:43Z,ECMWF NRT IFS,worst_case_max_roi,ECMWF/NRT_FORECAST/IFS/OPER,total_precipitation_sfc,2026-06-23T18:00:00+00:00,2026-06-24T18:00:00+00:00,24,0.0,24,0.0,1,"[109.1, 12.1, 109.3, 12.2]"
2026-07-16T16:02:36Z,ECMWF NRT IFS,worst_case_max_roi,ECMWF/NRT_FORECAST/IFS/OPER,total_precipitation_sfc,2026-07-16T06:00:00+00:00,2026-07-16T12:00:00+00:00,6,0.0,6,0.0,1,"[109.1, 12.1, 109.3, 12.2]"
2026-07-16T16:03:58Z,ECMWF NRT IFS,worst_case_max_roi,ECMWF/NRT_FORECAST/IFS/OPER,total_precipitation_sfc,2026-07-16T06:00:00+00:00,2026-07-16T12:00:00+00:00,6,0.0,6,0.0,1,"[109.1, 12.1, 109.3, 12.2]"
2026-07-16T16:05:44Z,ECMWF NRT IFS,worst_case_max_roi,ECMWF/NRT_FORECAST/IFS/OPER,total_precipitation_sfc,2026-07-16T06:00:00+00:00,2026-07-16T12:00:00+00:00,6,0.0,6,0.0,1,"[109.1, 12.1, 109.3, 12.2]"
2026-07-16T16:05:49Z,ECMWF NRT IFS,worst_case_max_roi,ECMWF/NRT_FORECAST/IFS/OPER,total_precipitation_sfc,2026-07-16T06:00:00+00:00,2026-07-16T18:00:00+00:00,12,0.0,12,0.0,1,"[109.1, 12.1, 109.3, 12.2]"
2026-07-16T16:05:56Z,ECMWF NRT IFS,worst_case_max_roi,ECMWF/NRT_FORECAST/IFS/OPER,total_precipitation_sfc,2026-07-16T06:00:00+00:00,2026-07-17T06:00:00+00:00,24,0.0,24,0.0,1,"[109.1, 12.1, 109.3, 12.2]"
2026-07-16T16:18:29Z,ECMWF NRT IFS,worst_case_max_roi,ECMWF/NRT_FORECAST/IFS/OPER,total_precipitation_sfc,2026-07-16T06:00:00+00:00,2026-07-16T12:00:00+00:00,6,0.0,6,0.0,1,"[109.1, 12.1, 109.3, 12.2]"
2026-07-16T16:18:35Z,ECMWF NRT IFS,worst_case_max_roi,ECMWF/NRT_FORECAST/IFS/OPER,total_precipitation_sfc,2026-07-16T06:00:00+00:00,2026-07-16T18:00:00+00:00,12,0.0,12,0.0,1,"[109.1, 12.1, 109.3, 12.2]"
2026-07-16T16:18:40Z,ECMWF NRT IFS,worst_case_max_roi,ECMWF/NRT_FORECAST/IFS/OPER,total_precipitation_sfc,2026-07-16T06:00:00+00:00,2026-07-17T06:00:00+00:00,24,0.0,24,0.0,1,"[109.1, 12.1, 109.3, 12.2]"
2026-07-17T13:07:24Z,ECMWF NRT IFS,worst_case_max_roi,ECMWF/NRT_FORECAST/IFS/OPER,total_precipitation_sfc,2026-07-17T06:00:00+00:00,2026-07-17T12:00:00+00:00,6,0.0,6,0.0,1,"[109.1, 12.1, 109.3, 12.2]"
2026-07-18T02:26:18Z,ECMWF NRT IFS,worst_case_max_roi,ECMWF/NRT_FORECAST/IFS/OPER,total_precipitation_sfc,2026-07-17T18:00:00+00:00,2026-07-18T00:00:00+00:00,6,0.0,6,0.0,1,"[109.1, 12.1, 109.3, 12.2]"
2026-07-18T02:28:18Z,ECMWF NRT IFS,worst_case_max_roi,ECMWF/NRT_FORECAST/IFS/OPER,total_precipitation_sfc,2026-07-17T18:00:00+00:00,2026-07-18T00:00:00+00:00,6,0.0,6,0.0,1,"[109.1, 12.1, 109.3, 12.2]"
2026-07-18T02:28:38Z,ECMWF NRT IFS,worst_case_max_roi,ECMWF/NRT_FORECAST/IFS/OPER,total_precipitation_sfc,2026-07-17T18:00:00+00:00,2026-07-18T00:00:00+00:00,6,0.0,6,0.0,1,"[109.1, 12.1, 109.3, 12.2]"
2026-07-18T02:48:42Z,ECMWF NRT IFS,worst_case_max_roi,ECMWF/NRT_FORECAST/IFS/OPER,total_precipitation_sfc,2026-07-17T18:00:00+00:00,2026-07-18T00:00:00+00:00,6,0.0,6,0.0,1,"[109.1, 12.1, 109.3, 12.2]"
